№;Тип установи;Код за ЄДРПОУ;Повне найменування;Повна адреса;ПІБ керівника;Дата видачі
1754;Страхова компанія;13626422;"ПРИВАТНЕ АКЦІОНЕРНЕ СТРАХОВЕ ТОВАРИСТВО ""АСТРО-ДНІПРО""";69091 ЗАПОРІЗЬКА ОБЛАСТЬ, ЗАПОРІЖЖЯ, МІСТО ЗАПОРІЖЖЯ, бульвар Гвардійський, буд.153, корп.---, оф.(кв.)---;Авраменко Сергій Володимирович;21.08.2004
1755;Страхова компанія;13622789;"ТОВАРИСТВО З ДОДАТКОВОЮ ВІДПОВІДАЛЬНІСТЮ ""СТРАХОВА КОМПАНІЯ ""КРЕДО""";69068 ЗАПОРІЗЬКА ОБЛАСТЬ, ЗАПОРІЖЖЯ, МІСТО ЗАПОРІЖЖЯ, ПРОСПЕКТ МОТОРОБУДІВНИКІВ, буд.34;Кривцун Віктор Віталійович;21.08.2004
1756;Страхова компанія;13550765;"Приватне акціонерне товариство ""Страхова компанія ""АСКО-Медсервіс""";03150 КИЇВ, КИЇВ 150, Горького, буд.122;Діденко Тетяна  Вікторівна;21.08.2004
1757;Страхова компанія;13525951;"Приватне акціонерне товариство ""Страхова компанія ""Фенікс""";03187 КИЇВ, КИЇВ 187, пр-т Академіка Глушкова, буд.1;Кривошапка  Вячеслав Васильович;21.08.2004
1758;Страхова компанія;13494943;"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО  ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ""";84205 ДОНЕЦЬКА ОБЛАСТЬ, ДРУЖКІВКА, МІСТО ДРУЖКІВКА, Соборна, буд.37, корп.відсутній, оф.(кв.)відсутній;Матушевський Євген Леонідович;21.08.2004
1759;Страхова компанія;13490997;"Приватне акціонерне товариство ""Українська акціонерна страхова компанія АСКА""";69005 ЗАПОРІЗЬКА ОБЛАСТЬ, ЗАПОРІЖЖЯ, МІСТО ЗАПОРІЖЖЯ, Перемоги, буд.97-А;Шукатко  Андрій  Олегович ;21.08.2004
1760;Страхова компанія;02307292;"Приватне акціонерне товариство ""Страхова компанія ""Оранта-Січ""";69104 ЗАПОРІЗЬКА ОБЛАСТЬ, ЗАПОРІЖЖЯ, МІСТО ЗАПОРІЖЖЯ, Європейська, буд.16, корп.-, оф.(кв.)-;Петровський Віталій Григорович;21.08.2004
1761;Страхова компанія;02305896;"Приватне  акціонерне товариство ""Страхова компанія ""Дніпро""";49000 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРОПЕТРОВСЬК, Глинки, буд.12;Пустовой   Сергій Миколайович;21.08.2004
1762;Страхова компанія;02305867;"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО""СТРАХОВА КОМПАНІЯ ""ОРАНТА-ЛУГАНЬ""";91031 ЛУГАНСЬКА ОБЛАСТЬ, ЛУГАНСЬК, МІСТО ЛУГАНСЬК, Оборонна, буд.20;Ковальов Олег Вікторович;21.08.2004
1763;Страхова компанія;00034186;"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""НАЦІОНАЛЬНА  АКЦІОНЕРНА СТРАХОВА КОМПАНІЯ ""ОРАНТА""";02081 КИЇВ, КИЇВ 81, Здолбунівська, буд.7-д;Грищенко Валерій Михайлович;21.08.2004
1764;Адміністратор недержавних пенсійних фондів;32465747;"Компанія з управління активами, адміністратор пенсійного фонду Товариство з обмеженою відповідальністю ""Управління фондових активів""";52400 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, СОЛОНЯНСЬКИЙ РАЙОН СОЛОНЕ, Кірова, буд.253а;Козаченко  Володимир  Михайлович;18.08.2004
1765;Фінансова компанія;33052113;"Товариство з обмеженою відповідальністю ""Фінансова компанія ""Столиця""";01013 КИЇВ, КИЇВ 13, Будіндустрії, буд.5;Беримець Валерій Миколайович;17.08.2004
1766;Адміністратор недержавних пенсійних фондів;32984182;"Товариство з обмеженою відповідальністю ""ІФГ Капітал Адміністратор пенсійних фондів""";01601 КИЇВ, КИЇВ 601, Мечникова, буд.2;Тахтай Володимир Єпіфанович;17.08.2004
1767;Адміністратор недержавних пенсійних фондів;32958592;"Товариство з обмеженою відповідальністю ""Адміністратор недержавного пенсійного фонду ""Пенсійне забезпечення""";02091 КИЇВ, КИЇВ 91, Тростянецька, буд.8-В;Дроздова Юлія Володимирівна;17.08.2004
1768;Фінансова компанія;32527200;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ІНВЕСТ ТАУН""";03142 КИЇВ, КИЇВ 142, ВАСИЛЯ СТУСА, буд.35/37, оф.102;ШАЛАШНА ВАЛЕНТИНА ОЛЕКСАНДРІВНА;17.08.2004
1769;Ломбард;32150248;"Повне товариство ""Ломбард ""Яхонт"" Ванян Р.А. та Моргунов Р.В.";49024 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРОПЕТРОВСЬК, Янтарна, буд.67;Ванян    Рубен Аршакович;17.08.2004
1770;Ломбард;30623630;ПОВНЕ ТОВАРИСТВО «ЛОМБАРД ПЕРСПЕКТИВА ПЛЮС ДЕНИСЕНКО, АБРАМЧЕНКО, СУХОЦЬКИЙ»;83050 ДОНЕЦЬКА ОБЛАСТЬ, ДОНЕЦЬК, МІСТО ДОНЕЦЬК, Університетська, буд.48, оф.110;Сухоцький Євген Станіславович;17.08.2004
1771;Ломбард;22474997;"Повне товариство ломбард ""Індікон"" Колесник і компанія";65074 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ОДЕСА, Валентини Терешкової, буд.26-а;Гаєвська Ліна Миколаївна;17.08.2004
1772;Ломбард;19314356;"Повне товариство""Ломбард""Оріон-Т"" Туркенич та Капустін""";51200 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, НОВОМОСКОВСЬКИЙ РАЙОН НОВОМОСКОВСЬК, Сучкова, буд.2а;Туркенич Юрій Зіновійович,;17.08.2004
1773;Ломбард;32400700;"ПОВНЕ ТОВАРИСТВО ""ОДЕСЬКИЙ МІСЬКИЙ ЛОМБАРД - КРУГЛЕНКО І КОМПАНІЯ""";65020 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ОДЕСА, ТИРАСПОЛЬСЬКА, буд.22, корп.  -, оф.(кв.)   -;Ніколаєва Лариса Андріївна;12.08.2004
1774;Ломбард;30846610;ПОВНЕ ТОВАРИСТВО «ЛОМБАРД «ГОЛД» ТОВ «ГОЛД-ВС» І КОМПАНІЯ»;01010 КИЇВ, КИЇВ 10, Рибальська, буд.2;Антонецький Валентин Степанович;12.08.2004
1775;Ломбард;24246119;"Повне товариство ""Ломбард Бізнес-Альянс"" Юмінова І.Г. і Компанія";50081 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, КРИВИЙ РІГ, МІСТО КРИВИЙ РІГ, мікрорайон 5-й Зарічний, буд.9;Васеніна Олена Василівна;12.08.2004
1776;Ломбард;21877552;"Повне товариство ""Ломбард ""Агат"" Войтенко В.А. і компанія""";49100 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРО, проспект Героїв, буд.12;Войтенко Вадим Афанасійович;12.08.2004
1777;Фінансова компанія;32980889;"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""Фінансова компанія ""Княгиня Ярославна""";02093 КИЇВ, КИЇВ 93, вул. Бориспільська, буд.26-В, оф.(кв.)210;Михновецький Юрій  Васильович;05.08.2004
1778;Ломбард;30345601;"ПОВНЕ ТОВАРИСТВО ""МАЄВСЬКИЙ, МАЄВСЬКА ""ЛОМБАРД № 1""";93100 ЛУГАНСЬКА ОБЛАСТЬ, ЛИСИЧАНСЬК, МІСТО ЛИСИЧАНСЬК, вулиця Свердлова, буд.293;Маєвський  Роман Юрійович;05.08.2004
1779;Кредитна спілка;26569660;"КРЕДИТНА СПІЛКА ""БЕРЕГИНЯ""";71504 ЗАПОРІЗЬКА ОБЛАСТЬ, ЕНЕРГОДАР, МІСТО ЕНЕРГОДАР, Комсомольська, буд.34;Феськова Світлана Геннадіївна;05.08.2004
1780;Ломбард;24272766;"Повне товариство ""Ломбард ""Корал"" Подус і компанія""";61162 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, проспект Героїв Сталінграду, буд.136-Г;Бриль Федір Іванович,;05.08.2004
1781;Ломбард;03062088;"Комунальне підприємство ""Харківський міський ломбард""";61052 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, Конєва, буд.7;Рідкокаша Артем Павлович;05.08.2004
1782;Ломбард;30998832;"ПОВНЕ ТОВАРИСТВО ""СОЛОД ОЛЕКСАНДР І СОЛОД ТЕТЯНА ""ЮГ-ЛОМБАРД""";69032 ЗАПОРІЗЬКА ОБЛАСТЬ, ЗАПОРІЖЖЯ, МІСТО ЗАПОРІЖЖЯ, Доківська, буд.3;ПАВЛЕНКО  ОЛЕНА ОЛЕКСАНДРІВНА;29.07.2004
1783;Кредитна спілка;26349964;"Кредитна Спілка ""Честь маю""";91021 ЛУГАНСЬКА ОБЛАСТЬ, ЛУГАНСЬК, МІСТО ЛУГАНСЬК, вул.Тимирязєва, буд.3Г, оф.(кв.)29;Плєшаков Валерій Васильович;29.07.2004
1784;Ломбард;23989829;"Повне товариство ""Ломбард ""Лазурит"" Бородатий, Савіна""";65069 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ОДЕСА, проспект Добровольського, буд.83;Косьма  Ольга Вікторівна;29.07.2004
1785;Ломбард;32951450;"Повне товариство ""Ломбард"" Криниця та Компанія""";61012 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, Енгельса, буд.29, корп.А;Саваріна Інесса Анатоліївна;27.07.2004
1786;Кредитна спілка;26535419;"Кредитна спілка ""Кредо""";77000 ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ, РОГАТИНСЬКИЙ РАЙОН РОГАТИН, Галицька, буд.87;Даниляк  Роман Ігорович;27.07.2004
1787;Кредитна спілка;26450574;"Кредитна спілка ""Соколов""";61082 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, проспект Московський, буд.144, оф.(кв.)807;Михайлюк Інна Сергіївна;27.07.2004
1788;Кредитна спілка;26443195;"Кредитна спілка ""Росток""";85374 ДОНЕЦЬКА ОБЛАСТЬ, КРАСНОАРМІЙСЬКИЙ РАЙОН КРАСНЕ, Центральна, буд.11а;Бєлік  Микола Олександрович;27.07.2004
1789;Кредитна спілка;26417269;"Кредитна спілка ""Шанс""";86200 ДОНЕЦЬКА ОБЛАСТЬ, ШАХТАРСЬКИЙ РАЙОН ШАХТАРСЬК, Крупської, буд.38, оф.13;Рамазанова Тетяна Анатоліївна;27.07.2004
1790;Кредитна спілка;26415738;Кредитна Cпілка “Кредитно-Депозитний Центр Професіонал”;83001 ДОНЕЦЬКА ОБЛАСТЬ, ДОНЕЦЬК, МІСТО ДОНЕЦЬК, Щорса, буд.3, корп.-, оф.-;Чебишева Марина Олександрівна;27.07.2004
1791;Кредитна спілка;26405243;"Кредитна спілка ""Єднання""";69044 ЗАПОРІЗЬКА ОБЛАСТЬ, ЗАПОРІЖЖЯ, МІСТО ЗАПОРІЖЖЯ, ПРОФСПІЛОК, буд.5;Паміров Володимир Миколайович, Голова правління   ;27.07.2004
1792;Кредитна спілка;26157087;"Кредитна спілка ""Гарантія""";20603 ЧЕРКАСЬКА ОБЛАСТЬ, ШПОЛЯНСЬКИЙ РАЙОН ШПОЛА, Лозуватська, буд.60;Берестовий  Григорій Іванович;27.07.2004
1793;Кредитна спілка;24873017;"Кредитна спілка ""Шанс""";98000 АВТОНОМНА РЕСПУБЛІКА КРИМ, СУДАК СУДАК, Мічуріна, буд.4;Асанова Гульзар Умєріна, голова правління   ;27.07.2004
1794;Кредитна спілка;21330517;Хмельницька  ощадна кредитна спілка;31343 ХМЕЛЬНИЦЬКА ОБЛАСТЬ, ХМЕЛЬНИЦЬКИЙ РАЙОН ПИРОГІВЦІ, Кірова, буд.36;Персіянова -Гаврилюк Наталія Сергїївна   ;27.07.2004
1795;Ломбард;30505866;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД «МІДАС» ЛЕЖНЬОВ Д.О.  ТА КОМПАНІЯ""";69037 ЗАПОРІЗЬКА ОБЛАСТЬ, ЗАПОРІЖЖЯ, МІСТО ЗАПОРІЖЖЯ, Незалежної України, буд.50-А, оф.(кв.)11;Лежньов Денис Олександрович;22.07.2004
1796;Кредитна спілка;26356148;"Кредитна спілка ""КАРАТ""";63701 ХАРКІВСЬКА ОБЛАСТЬ, КУП'ЯНСЬКИЙ РАЙОН КУП'ЯНСЬК, Тітова, буд.2;Хлопоніна  Анна Іванівна;22.07.2004
1797;Кредитна спілка;26349740;"Кредитна спілка ""Забота""";94300 ЛУГАНСЬКА ОБЛАСТЬ, ПЕРЕВАЛЬСЬКИЙ РАЙОН ПЕРЕВАЛЬСЬК, Леніна, буд.33;Літвінова Ольга Вікторівна;22.07.2004
1798;Кредитна спілка;26323002;"Кредитна спілка ""Незалежність""";18000 ЧЕРКАСЬКА ОБЛАСТЬ, ЧЕРКАСИ, МІСТО ЧЕРКАСИ, бульвар Шевченка, буд.241, оф.1;Різник  Тетяна Петрівна;22.07.2004
1799;Кредитна спілка;26271653;Кредитна спілка “Казна”;94207 ЛУГАНСЬКА ОБЛАСТЬ, АЛЧЕВСЬК, МІСТО АЛЧЕВСЬК, Гагаріна, буд.28;Боженко  Володимир  Васильович;22.07.2004
1800;Кредитна спілка;26018121;"Кредитна спілка ""Оберіг""";11600 ЖИТОМИРСЬКА ОБЛАСТЬ, МАЛИНСЬКИЙ РАЙОН МАЛИН, Грушевського, буд.42;Залуцький Сергій Віталійович;22.07.2004
1801;Кредитна спілка;25452281;Закарпатська Ощадна Кредитна Спілка;88000 ЗАКАРПАТСЬКА ОБЛАСТЬ, УЖГОРОД, МІСТО УЖГОРОД, Швабська, буд.58, оф.1;Плєшков Василь Васильович;22.07.2004
1802;Ломбард;24349724;"Повне товариство ""Ломбард ""Гарант-Черкаси"" Бородай О.А.,Таценко Д.С.,Соколенко Н.О.""";18002 ЧЕРКАСЬКА ОБЛАСТЬ, ЧЕРКАСИ, МІСТО ЧЕРКАСИ, Смілянська, буд.36;Соколенко Ніна Олексіївна;22.07.2004
1803;Кредитна спілка;21482339;"Кредитна спілка ""АЖІО""";01135 КИЇВ, КИЇВ 135, В.ЧОРНОВОЛА, буд.25, оф.(кв.)49;БОГОЛЮБОВА ІРИНА ДМИТРІВНА;22.07.2004
1804;Кредитна спілка;26383047;"КРЕДИТНА СПІЛКА ""СОСНИЦЬКА""";16100 ЧЕРНІГІВСЬКА ОБЛАСТЬ, СОСНИЦЬКИЙ РАЙОН СОСНИЦЯ, Троїцька, буд.21;Кваша Валентина Федорівна;20.07.2004
1805;Кредитна спілка;26364449;"КРЕДИТНА СПІЛКА  ""ІСТОК""";65049 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ОДЕСА, проспект Адміральський, буд.7, оф.(кв.)2; Дронова  Тетяна Олександрівна;20.07.2004
1806;Кредитна спілка;26355396;"КРЕДИТНА СПІЛКА ""НАДІЯ""";63701 ХАРКІВСЬКА ОБЛАСТЬ, КУП'ЯНСЬКИЙ РАЙОН КУП'ЯНСЬК, Садова, буд.4;Бараннік Тетяна Євгеніївна;20.07.2004
1807;Кредитна спілка;26262275;Кредитна спілка “Лугань-Кредит”;91021 ЛУГАНСЬКА ОБЛАСТЬ, ЛУГАНСЬК, МІСТО ЛУГАНСЬК, А.Ліньова, буд.75;Деревич  Анатолій  Анатолійович;20.07.2004
1808;Кредитна спілка;25824593;"Кредитна спілка ""Івано-Франківська""";76018 ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ, ІВАНО-ФРАНКІВСЬК, МІСТО ІВАНО-ФРАНКІВСЬК, Пилипа Орлика, буд.4 А;Маслова  Олена Євгенівна;20.07.2004
1809;Кредитна спілка;25817624;"Кредитна спілка ""Промінь""";44550 ВОЛИНСЬКА ОБЛАСТЬ, КАМІНЬ-КАШИРСЬКИЙ РАЙОН КЛІТИЦЬК, 8 Березня, буд.4;Корольчук   Віктор Степанович;20.07.2004
1810;Кредитна спілка;25606844;"Кредитна спілка ""Інтер""";86600 ДОНЕЦЬКА ОБЛАСТЬ, ТОРЕЗ, МІСТО ТОРЕЗ, Стаханова, буд.9;Ліхтанська Вікторія Ростиславівна;20.07.2004
1811;Кредитна спілка;25508053;Кредитна спілка “Академія”;21017 ВІННИЦЬКА ОБЛАСТЬ, ВІННИЦЯ, МІСТО ВІННИЦЯ, вул. Гонти, буд.37; Лемешкова  Валентина Степанівна;20.07.2004
1812;Кредитна спілка;24594270;"Кредитна спілка ""УКРАЇНСЬКА ПРОВІДНА""";08000 КИЇВСЬКА ОБЛАСТЬ, МАКАРІВСЬКИЙ РАЙОН МАКАРІВ, Б.Хмельницького, буд.9, оф.24;Черниш  Олег Михайлович;20.07.2004
1813;Фінансова компанія;32922168;"Товариство з обмеженою відповідальністю ""Фінансова компанія ""Перший управитель будівництва""";04071 КИЇВ, КИЇВ 71, Костянтинівська, буд.51А;Суббота Сергій Юлійович;02.07.2004
1814;Ломбард;30938862;"ПОВНЕ ТОВАРИСТВО КУЗЬМІНА Д.В. ТА ЩЕРБАК Г.Г. ""ФАРАОН""-ЛОМБАРД";49051 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРО, проспект Слобожанський, буд.46, оф.(кв.)2;Кузьмін  Дмитро Всеволодович;02.07.2004
1815;Ломбард;30682895;"Повне товариство ""Київський міський ломбард ""Меленчук і Компанія""";01001 КИЇВ, КИЇВ 1, Мала Житомирська, буд.9-Б;Меленчук  Людмила Тимофіївна;02.07.2004
1816;Ломбард;30511754;"Повне товариство ""Ломбард ""Надія"" Письменна Н. Є. і компанія""";61058 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, Данилевського, буд.18, оф.(кв.)107;Письменна Надія Єгорівна;02.07.2004
1817;Кредитна спілка;30320372;"Кредитна спілка ""Орізон""";80670 ЛЬВІВСЬКА ОБЛАСТЬ, БРОДІВСЬКИЙ РАЙОН ПІДКАМІНЬ, Незалежності, буд.60;Чумак Оксана Володимирівна;02.07.2004
1818;Кредитна спілка;26413774;"Кредитна спілка військовослужбовців України у Волинській області ""Офіцерська кредитна спілка""";43021 ВОЛИНСЬКА ОБЛАСТЬ, ЛУЦЬК, МІСТО ЛУЦЬК, Стрілецька, буд.2;Бродський  Іван Петрович;02.07.2004
1819;Кредитна спілка;26412543;"КРЕДИТНА СПІЛКА ВІЙСЬКОВОСЛУЖБОВЦІВ ТА ПРАЦІВНИКІВ СИЛОВИХ ВІДОМСТВ ""ОФІЦЕРСЬКА КРЕДИТНА СПІЛКА""";79016 ЛЬВІВСЬКА ОБЛАСТЬ, ЛЬВІВ, МІСТО ЛЬВІВ, Війтовича П., буд.14, оф.(кв.)3;Петрук Ірина Вікторівна;02.07.2004
1820;Кредитна спілка;26378983;"Кредитна спілка ""НАДІЯ АПК""";04053 КИЇВ, КИЇВ 53, Стрітенська, буд.15;Кравець  Олена Володимирівна;02.07.2004
1821;Кредитна спілка;26333590;"""Об'єднана кредитна спілка Національної асоціації кредитних спілок України""";01135 КИЇВ, КИЇВ 135, Чорновола, буд.25, оф.49;Кравченко Людмила Євгеніївна;02.07.2004
1822;Кредитна спілка;26310330;"Кредитна спілка ""Довіра""";48600 ТЕРНОПІЛЬСЬКА ОБЛАСТЬ, ЗАЛІЩИЦЬКИЙ РАЙОН ЗАЛІЩИКИ, В.Стефаника,, буд.4;Оскоріп Оксана Василівна;02.07.2004
1823;Кредитна спілка;26294660;Перша Подільська Фермерська Кредитна Спілка   ;32300 ХМЕЛЬНИЦЬКА ОБЛАСТЬ, КАМ'ЯНЕЦЬ-ПОДІЛЬСЬКИЙ РАЙОН КАМ'ЯНЕЦЬ-ПОДІЛЬСЬКИЙ, Проспект Грушевського , буд.23;Гищук Сергій Васильович;02.07.2004
1824;Кредитна спілка;26265457;"КРЕДИТНА СПІЛКА  ""ДОВІРА""";42700 СУМСЬКА ОБЛАСТЬ, ОХТИРСЬКИЙ РАЙОН ОХТИРКА, НЕЗАЛЕЖНОСТІ, буд.28;Васюхно Людмила Володимирівна;02.07.2004
1825;Кредитна спілка;26250504;"Кредитна спілка ""Академія""";69015 ЗАПОРІЗЬКА ОБЛАСТЬ, ЗАПОРІЖЖЯ, МІСТО ЗАПОРІЖЖЯ, Кияшка, буд.16-А;Cухацька Світлана Євгеніївна;02.07.2004
1826;Кредитна спілка;25971704;"Кредитна спілка ""Росток""";99011 СЕВАСТОПОЛЬ, МІСТО, СЕВАСТОПОЛЬ, Очаковцiв, буд.19, оф.404;Яковлсв  Андрiй Васильович;02.07.2004
1827;Кредитна спілка;25921072;Кредитна спілка “Народна каса”;30400 ХМЕЛЬНИЦЬКА ОБЛАСТЬ, ШЕПЕТІВСЬКИЙ РАЙОН ШЕПЕТІВКА, Островського, буд.6;Одуд Богдан Михайлович;02.07.2004
1828;Кредитна спілка;25872310;Кредитна спілка „Кредит-Чорнобиль”;20300 ЧЕРКАСЬКА ОБЛАСТЬ, УМАНСЬКИЙ РАЙОН УМАНЬ, Незалежності, буд.1;Семенчук Ганна Яківна;02.07.2004
1829;Кредитна спілка;25724681;"Кредитна спілка ""Соціум""";49000 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРОПЕТРОВСЬК, Комсомольська, буд.22;Лобастов Ігор Вячеславович;02.07.2004
1830;Кредитна спілка;25629638;"Кредитна спілка ""Кримська республіканська каса взаємодопомоги""";95000 АВТОНОМНА РЕСПУБЛІКА КРИМ, СІМФЕРОПОЛЬ СІМФЕРОПОЛЬ, Карла Маркса, буд.5, оф.54;Журенкова Лариса Володимирівна;02.07.2004
1831;Кредитна спілка;25320190;"Кредитна спілка "" Гранд """;33028 РІВНЕНСЬКА ОБЛАСТЬ, РІВНЕ, МІСТО РІВНЕ, Чорновола, буд.13, оф.(кв.)214;Скороход  Вікторія Вікторівна;02.07.2004
1832;Кредитна спілка;25256976;"Кредитна спілка ""Галичина""";79058 ЛЬВІВСЬКА ОБЛАСТЬ, ЛЬВІВ, МІСТО ЛЬВІВ, проспект В.Чорновола, буд.61;Галайко   Назар Романович;02.07.2004
1833;Кредитна спілка;25170007;"Кредитна спілка ""Надія""";"37300 ПОЛТАВСЬКА ОБЛАСТЬ, ГАДЯЦЬКИЙ РАЙОН ГАДЯЧ, ДРУЖБИ, буд.12, ""А""";Іванова  Людмила Миколаївна;02.07.2004
1834;Кредитна спілка;25165759;"Кредитна спілка ""Надія""";39803 ПОЛТАВСЬКА ОБЛАСТЬ, КОМСОМОЛЬСЬК, МІСТО КОМСОМОЛЬСЬК, ЛЕНІНА, буд.30;Кузьмін Леонід Володимирович;02.07.2004
1835;Кредитна спілка;25070258;Калуська міськрайонна кредитна спілка “Самопоміч”;77300 ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ, КАЛУСЬКИЙ РАЙОН КАЛУШ, Каракая, буд.5;Грищишин Ангеліна Миколаївна;02.07.2004
1836;Кредитна спілка;25068803;КРЕДИТНА СПІЛКА „СКАРБНИЦЯ”;78100 ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ, ГОРОДЕНКІВСЬКИЙ РАЙОН ГОРОДЕНКА, Івана Богуна, буд.9;Дружкіна Світлана Ярославівна;02.07.2004
1837;Ломбард;24801399;"Повне товариство ""ЛОМБАРД ТОВ ""КЕШ ТА КОМПАНІЯ"" ТА ТОВ ""ЕКСПРЕС ТА КОМПАНІЯ""";02225 КИЇВ, КИЇВ 225, проспект Маяковського, буд.15;Гринь Сергій Геннадійович;02.07.2004
1838;Кредитна спілка;24684606;"Кредитна спілка ""Злет""";77504 ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ, ДОЛИНСЬКИЙ РАЙОН ДОЛИНА, ЧОРНОВОЛА, буд.10;Новосельський Максим Михайлович;02.07.2004
1839;Кредитна спілка;24682725;"Кредитна спілка ""Сян""";76018 ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ, ІВАНО-ФРАНКІВСЬК, МІСТО ІВАНО-ФРАНКІВСЬК, Дністровська, буд.63А;Гринишин Любов Йосифівна;02.07.2004
1840;Ломбард;24456934;"Повне товариство ""Ломбард ""Нашко Наталія Володимирівна і Компанія""";86500 ДОНЕЦЬКА ОБЛАСТЬ, СНІЖНЕ, МІСТО СНІЖНЕ, Леніна, буд.16;Нашко Наталія Володимирівна;02.07.2004
1841;Кредитна спілка;24011818;"Кредитна спілка ""Сумська Кредитна спілка""";40030 СУМСЬКА ОБЛАСТЬ, СУМИ, МІСТО СУМИ, Червона площа, буд.10; Гриник  Володимир Романович;02.07.2004
1842;Кредитна спілка;23974934;"Кредитна спілка ""Відродження""";82200 ЛЬВІВСЬКА ОБЛАСТЬ, ТРУСКАВЕЦЬ, МІСТО ТРУСКАВЕЦЬ, Івана Мазепи, буд.21Е;Кріль  Ігор  Іванович;02.07.2004
1843;Кредитна спілка;23212644;Кредитна спілка “Перше кредитне товариство”;65020 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ОДЕСА, Базарна, буд.104;Найда Валентин Іванович;02.07.2004
1844;Кредитна спілка;22109660;"Закарпатська обласна кредитна спілка ""Бескид""";88005 ЗАКАРПАТСЬКА ОБЛАСТЬ, УЖГОРОД, МІСТО УЖГОРОД, Минайська, буд.3, оф.4;Шерегій Василь Михайлович;02.07.2004
1845;Ломбард;21890699;"Повне товариство ""Ломбард ""Еталон"" Щербаков і компанія""";51413 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ПАВЛОГРАДСЬКИЙ РАЙОН ПАВЛОГРАД, Кравченка, буд.4;Щербакова Олена Геннадіївна;02.07.2004
1846;Кредитна спілка;21163960;"Кредитна спілка ""Калина""";46008 ТЕРНОПІЛЬСЬКА ОБЛАСТЬ, ТЕРНОПІЛЬ, МІСТО ТЕРНОПІЛЬ, Руська, буд.8, оф.4;Луцишин  Олег Орестович;02.07.2004
1847;Кредитна спілка;20826297;"Кредитна спілка ""Гільдія вуглекопів""";80100 ЛЬВІВСЬКА ОБЛАСТЬ, ЧЕРВОНОГРАД, МІСТО ЧЕРВОНОГРАД, Хмельницького, буд.20а;Махник  Ірина Павлівна;02.07.2004
1848;Ломбард;20219338;"Повне товариство ""Ломбард Олійник і компанія""";50027 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, КРИВИЙ РІГ, МІСТО КРИВИЙ РІГ, Пр-т Металургів, буд.9, оф.(кв.)65;Федосенко Ада Юріївна;02.07.2004
1849;Кредитна спілка;20144445;Кредитна спілка “Берегиня”;45400 ВОЛИНСЬКА ОБЛАСТЬ, НОВОВОЛИНСЬК, МІСТО НОВОВОЛИНСЬК, Нововолинська, буд.8;Коптюк Валентина Павлівна;02.07.2004
1850;Кредитна спілка;06716780;"Харківська міська фінансово-кредитна спілка ""Криниця""";61024 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, Максиміліанівська, буд.7;Чернікова Юлія Андріївна;02.07.2004
